"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9087.0,9061.0
0.00105991,7988.0,7965.0
0.0011234,7000.0,6979.0
0.0011234,8025.0,8001.0
0.0011632,7447.0,7425.0
0.0012044,6911.0,6890.0
0.0012044,7321.0,7298.0
0.00128045,6440.0,6419.0
0.0013613,5652.0,5634.0
0.0013613,5905.0,5886.0
0.0015,4772.0,4755.0
0.002,2464.0,2453.0
0.003,926.7,919.0
0.004,453.1,446.8
0.005,257.8,252.4
0.0054827,203.9,198.8
0.0054827,576.4,535.6
0.00568299,530.2,493.5
0.0058906,484.6,451.7
0.0058906,654.5,602.3
0.006,631.9,581.9
0.0062663,565.4,522.1
0.0062663,651.8,600.3
0.008,352.9,329.0
0.01,196.7,184.7
0.015,67.31,63.21
0.02,31.19,28.97
0.03,10.52,9.444
0.0389246,5.271,4.554
0.0389246,27.72,8.785
0.04,25.79,8.608
0.05,14.47,6.56
0.06,8.962,4.756
0.08,4.177,2.587
0.1,2.315,1.532
0.15,0.8239,0.5576
0.2,0.4239,0.2718
0.3,0.1961,0.1079
0.4,0.1301,0.06382
0.5,0.1015,0.04677
0.6,0.0857,0.03849
0.8,0.06843,0.03073
1.0,0.05876,0.027
1.25,0.0511,0.02418
1.5,0.0464,0.02249
2.0,0.04122,0.0209
3.0,0.03737,0.02068
4.0,0.03646,0.02161
5.0,0.03664,0.0228
6.0,0.03726,0.02395
8.0,0.03907,0.02602
10.0,0.04113,0.02769
15.0,0.04603,0.03043
20.0,0.04996,0.03163
