"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9711.0,9679.0
0.00108876,7991.0,7964.0
0.0011854,6563.0,6541.0
0.0011854,7545.0,7519.0
0.00122832,6984.0,6960.0
0.0012728,6465.0,6442.0
0.0012728,6853.0,6829.0
0.00135222,6031.0,6010.0
0.0014366,5293.0,5273.0
0.0014366,5532.0,5512.0
0.0015,5033.0,5015.0
0.002,2607.0,2595.0
0.003,985.7,977.6
0.004,481.1,474.5
0.005,274.0,268.4
0.0057234,194.3,189.2
0.0057234,545.4,504.6
0.006,490.8,455.0
0.0061642,455.4,422.8
0.0061642,618.8,566.5
0.00635359,575.6,527.8
0.0065488,533.2,489.9
0.0065488,614.9,563.3
0.008,373.2,345.8
0.01,208.2,194.5
0.015,71.43,66.9
0.02,33.12,30.73
0.03,11.19,10.05
0.04,5.215,4.496
0.040443,5.066,4.359
0.040443,26.35,8.272
0.05,15.2,6.569
0.06,9.447,4.847
0.08,4.409,2.677
0.1,2.445,1.597
0.15,0.8687,0.5862
0.2,0.4452,0.2865
0.3,0.2039,0.1134
0.4,0.1342,0.06664
0.5,0.1041,0.04851
0.6,0.08757,0.0397
0.8,0.06962,0.03145
1.0,0.05961,0.0275
1.25,0.05181,0.02456
1.5,0.04701,0.02281
2.0,0.04177,0.02118
3.0,0.03792,0.02096
4.0,0.03705,0.02194
5.0,0.03727,0.02316
6.0,0.03792,0.02434
8.0,0.03981,0.02645
10.0,0.04194,0.02816
15.0,0.04699,0.03094
20.0,0.05103,0.03216
