"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,922.5,920.3
0.00114237,647.4,645.2
0.001305,453.0,450.9
0.001305,5444.0,5310.0
0.0015,4004.0,3918.0
0.002,1932.0,1899.0
0.003,658.5,649.9
0.004,297.4,293.7
0.005,158.3,156.1
0.006,93.81,92.27
0.008,40.61,39.65
0.01,21.05,20.36
0.015,6.358,5.925
0.02,2.763,2.432
0.03,0.9306,0.6855
0.04,0.4881,0.2815
0.05,0.3292,0.1451
0.06,0.257,0.0882
0.08,0.1951,0.04671
0.1,0.1686,0.0341
0.15,0.1394,0.02766
0.2,0.1245,0.02761
0.3,0.1065,0.02871
0.4,0.09492,0.02928
0.5,0.08647,0.02938
0.6,0.07988,0.02921
0.8,0.07008,0.02848
1.0,0.06296,0.02753
1.25,0.05629,0.02629
1.5,0.05129,0.02514
2.0,0.04426,0.02322
3.0,0.03613,0.02067
4.0,0.03159,0.01915
5.0,0.02873,0.01819
6.0,0.02681,0.01756
8.0,0.02445,0.01683
10.0,0.02313,0.01646
15.0,0.02168,0.01614
20.0,0.02127,0.01609
