"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9365.0,9343.0
0.00103199,8775.0,8754.0
0.001065,8214.0,8194.0
0.001065,8685.0,8663.0
0.00113851,7576.0,7557.0
0.0012171,6584.0,6567.0
0.0012171,6888.0,6870.0
0.0015,4335.0,4322.0
0.002,2226.0,2216.0
0.003,831.9,824.6
0.004,405.5,399.4
0.005,230.3,225.1
0.0050119,229.0,223.7
0.0050119,667.4,624.8
0.00518274,618.4,576.3
0.0053594,564.5,529.9
0.0053594,769.2,714.2
0.00553401,714.6,661.0
0.0057143,655.6,610.8
0.0057143,754.7,701.5
0.006,671.1,625.3
0.008,321.4,302.9
0.01,179.3,169.7
0.015,61.04,57.53
0.02,28.22,26.23
0.03,9.507,8.502
0.0359846,5.863,5.102
0.0359846,31.43,10.17
0.04,23.81,9.185
0.05,13.4,6.618
0.06,8.248,4.653
0.08,3.836,2.464
0.1,2.124,1.438
0.15,0.7589,0.5154
0.2,0.3941,0.2502
0.3,0.1863,0.1
0.4,0.1257,0.06003
0.5,0.09912,0.04463
0.6,0.08431,0.03717
0.8,0.06789,0.03014
1.0,0.05854,0.02671
1.25,0.05108,0.02408
1.5,0.04641,0.02246
2.0,0.04121,0.02091
3.0,0.03725,0.02064
4.0,0.03625,0.02153
5.0,0.03635,0.02268
6.0,0.03689,0.0238
8.0,0.0386,0.02583
10.0,0.04057,0.0275
15.0,0.04529,0.03026
20.0,0.0491,0.03152
