"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,8543.0,8521.0
0.00103063,7990.0,7969.0
0.0010622,7465.0,7445.0
0.0010622,8547.0,8524.0
0.00109882,7957.0,7935.0
0.0011367,7404.0,7384.0
0.0011367,7837.0,7815.0
0.00121224,6861.0,6841.0
0.0012928,5985.0,5968.0
0.0012928,6255.0,6237.0
0.0015,4499.0,4485.0
0.002,2319.0,2308.0
0.003,869.6,862.2
0.004,424.6,418.4
0.005,241.4,236.1
0.005247,213.5,208.4
0.005247,609.8,568.9
0.00543204,563.4,526.3
0.0056236,516.9,483.5
0.0056236,701.6,648.6
0.00580333,650.7,602.5
0.0059888,601.3,557.7
0.0059888,693.0,641.2
0.006,689.8,638.3
0.008,333.4,312.7
0.01,186.0,175.4
0.015,63.47,59.72
0.02,29.38,27.3
0.03,9.904,8.875
0.0374406,5.498,4.768
0.0374406,29.19,9.346
0.04,24.57,8.842
0.05,13.79,6.534
0.06,8.511,4.66
0.08,3.963,2.501
0.1,2.196,1.47
0.15,0.7828,0.5309
0.2,0.4046,0.2583
0.3,0.1891,0.1028
0.4,0.1265,0.06125
0.5,0.09923,0.04521
0.6,0.0841,0.03743
0.8,0.06744,0.03011
1.0,0.05803,0.02657
1.25,0.05058,0.02388
1.5,0.04592,0.02224
2.0,0.04078,0.02069
3.0,0.03692,0.02044
4.0,0.03598,0.02135
5.0,0.03612,0.0225
6.0,0.03669,0.02363
8.0,0.03844,0.02566
10.0,0.04042,0.02731
15.0,0.04518,0.03003
20.0,0.04902,0.03126
