"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,5649.0,5615.0
0.0015,1979.0,1969.0
0.002,904.7,900.5
0.003,288.8,287.0
0.004,125.6,124.4
0.005,65.14,64.24
0.006,37.89,37.16
0.008,16.02,15.48
0.01,8.205,7.776
0.015,2.492,2.186
0.02,1.133,0.8796
0.03,0.4487,0.2451
0.04,0.2828,0.1036
0.05,0.2214,0.05747
0.06,0.192,0.03903
0.08,0.1639,0.02676
0.1,0.1496,0.02394
0.15,0.1298,0.02417
0.2,0.1176,0.02554
0.3,0.1015,0.02729
0.4,0.09073,0.028
0.5,0.08274,0.02815
0.6,0.07649,0.02801
0.8,0.06717,0.02734
1.0,0.06037,0.02645
1.25,0.05399,0.02527
1.5,0.04915,0.02416
2.0,0.04228,0.02226
3.0,0.03422,0.01964
4.0,0.0296,0.01797
5.0,0.02663,0.01685
6.0,0.02457,0.01607
8.0,0.02195,0.01508
10.0,0.02039,0.01451
15.0,0.01846,0.01382
20.0,0.01769,0.01357
