"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,604.1,603.5
0.0015,179.7,179.1
0.002,74.69,74.22
0.003,21.27,20.9
0.004,8.685,8.367
0.005,4.369,4.081
0.006,2.527,2.26
0.008,1.124,0.8839
0.01,0.6466,0.4255
0.015,0.307,0.1143
0.02,0.2251,0.0478
0.03,0.1792,0.01898
0.04,0.164,0.01438
0.05,0.1554,0.01401
0.06,0.1493,0.01468
0.08,0.1401,0.01658
0.1,0.1328,0.01836
0.15,0.119,0.02157
0.2,0.1089,0.02353
0.3,0.09463,0.02548
0.4,0.08471,0.0262
0.5,0.07739,0.02639
0.6,0.07155,0.02627
0.8,0.06286,0.02565
1.0,0.05652,0.02483
1.25,0.05054,0.02373
1.5,0.04597,0.02268
2.0,0.03938,0.02083
3.0,0.03138,0.01806
4.0,0.02664,0.01617
5.0,0.02347,0.01479
6.0,0.02121,0.01377
8.0,0.01819,0.01233
10.0,0.01627,0.01138
15.0,0.01361,0.01001
20.0,0.01227,0.009294
