"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,6495.0,6483.0
0.0015,2342.0,2336.0
0.002,1106.0,1102.0
0.003,374.3,371.3
0.004,171.2,168.8
0.005,92.91,90.89
0.0054651,72.77,70.9
0.0054651,587.0,471.7
0.006,468.7,384.1
0.008,221.7,190.8
0.01,121.8,107.7
0.015,39.83,36.27
0.02,17.68,16.2
0.03,5.564,5.015
0.04,2.472,2.14
0.05,1.347,1.098
0.06,0.8438,0.6364
0.08,0.4371,0.2731
0.1,0.2877,0.1469
0.15,0.1682,0.05821
0.2,0.1318,0.03879
0.3,0.1034,0.03019
0.4,0.08965,0.02843
0.5,0.08074,0.0277
0.6,0.07414,0.02717
0.8,0.06466,0.02618
1.0,0.05794,0.02518
1.25,0.05175,0.02396
1.5,0.04722,0.02289
2.0,0.04115,0.0213
3.0,0.03466,0.01961
4.0,0.03141,0.01892
5.0,0.0296,0.01869
6.0,0.02855,0.01869
8.0,0.02759,0.01896
10.0,0.02738,0.01937
15.0,0.02786,0.02022
20.0,0.02877,0.02079
