"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,5868.0,5854.0
0.00102078,5651.0,5637.0
0.001042,5435.0,5420.0
0.001042,5551.0,5537.0
0.0015,2731.0,2717.0
0.002,1495.0,1482.0
0.0027867,722.5,711.2
0.0027867,2431.0,2355.0
0.00284705,1928.0,1869.0
0.0029087,1686.0,1638.0
0.0029087,2763.0,2671.0
0.003,2250.0,2178.0
0.003426,1614.0,1566.0
0.003426,1866.0,1811.0
0.004,1275.0,1240.0
0.004008,1269.0,1233.0
0.004008,1345.0,1308.0
0.00415963,1234.0,1196.0
0.004317,1126.0,1095.0
0.004317,1175.0,1142.0
0.005,825.1,802.5
0.006,529.9,514.6
0.008,260.1,250.9
0.01,149.0,142.3
0.0142135,61.62,57.38
0.0142135,146.1,114.0
0.015,127.9,100.8
0.0167847,94.17,75.76
0.0167847,130.2,96.7
0.0171352,133.8,92.64
0.017493,118.1,88.47
0.017493,136.0,101.0
0.02,97.04,74.46
0.03,34.42,28.12
0.04,16.38,13.61
0.05,9.196,7.637
0.06,5.748,4.729
0.08,2.769,2.2
0.0957299,1.777,1.361
0.0957299,6.895,1.935
0.1,6.174,1.897
0.15,2.249,1.112
0.2,1.118,0.6369
0.3,0.4491,0.2718
0.4,0.2565,0.1522
0.5,0.1765,0.1012
0.6,0.1354,0.07517
0.8,0.09495,0.05055
1.0,0.07538,0.03934
1.25,0.06189,0.03181
1.5,0.05479,0.02791
2.0,0.04821,0.02478
3.0,0.04424,0.02427
4.0,0.04383,0.02556
5.0,0.04461,0.0271
6.0,0.04585,0.02859
8.0,0.04883,0.03113
10.0,0.05195,0.03311
15.0,0.05918,0.03619
20.0,0.06493,0.03739
