"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,4210.0,4203.0
0.0015,1631.0,1625.0
0.002,811.5,805.7
0.0022223,625.8,620.1
0.0022223,2392.0,2335.0
0.00226411,2239.0,2186.0
0.0023067,2120.0,2071.0
0.0023067,2953.0,2878.0
0.00241654,2641.0,2575.0
0.0025316,2359.0,2303.0
0.0025316,2691.0,2627.0
0.003,1772.0,1734.0
0.004,850.7,834.4
0.005,475.5,466.4
0.006,293.5,287.3
0.008,135.6,132.0
0.01,74.17,71.5
0.015,24.63,23.08
0.0179976,15.01,13.8
0.0179976,94.7,41.64
0.02,72.37,35.55
0.03,24.85,16.0
0.04,11.39,8.129
0.05,6.173,4.621
0.06,3.744,2.859
0.08,1.721,1.31
0.1,0.9658,0.708
0.15,0.379,0.2361
0.2,0.2237,0.1164
0.3,0.1318,0.0542
0.4,0.1018,0.03885
0.5,0.08693,0.03311
0.6,0.07756,0.03025
0.8,0.06571,0.02726
1.0,0.0581,0.02547
1.25,0.0515,0.0238
1.5,0.047,0.02257
2.0,0.04146,0.02112
3.0,0.03644,0.02033
4.0,0.03451,0.02061
5.0,0.03384,0.02123
6.0,0.03374,0.02193
8.0,0.03441,0.02335
10.0,0.03554,0.0246
15.0,0.03855,0.0267
20.0,0.04122,0.02778
