"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,3311.0,3306.0
0.0015,1083.0,1080.0
0.002,476.9,475.5
0.003,145.6,144.7
0.004,61.66,60.94
0.005,31.44,30.86
0.006,18.09,17.59
0.008,7.562,7.17
0.01,3.879,3.545
0.015,1.236,0.9715
0.02,0.6178,0.3867
0.03,0.3066,0.1099
0.04,0.2288,0.05051
0.05,0.198,0.03217
0.06,0.1817,0.02548
0.08,0.1639,0.02211
0.1,0.1529,0.02231
0.15,0.1353,0.02472
0.2,0.1233,0.02665
0.3,0.1068,0.02873
0.4,0.09557,0.02952
0.5,0.08719,0.02969
0.6,0.08063,0.02956
0.8,0.07081,0.02886
1.0,0.06364,0.02792
1.25,0.05693,0.02669
1.5,0.0518,0.0255
2.0,0.0445,0.02347
3.0,0.03579,0.02057
4.0,0.03073,0.01867
5.0,0.02742,0.01734
6.0,0.02511,0.01639
8.0,0.02209,0.01512
10.0,0.02024,0.01434
15.0,0.01782,0.01332
20.0,0.01673,0.01285
