"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,3599.0,3588.0
0.00103542,3282.0,3273.0
0.0010721,2992.0,2984.0
0.0010721,2998.0,2989.0
0.0015,1206.0,1203.0
0.002,538.6,536.8
0.0021455,441.0,439.3
0.0021455,443.2,441.4
0.00230297,361.9,360.3
0.002472,295.2,293.8
0.002472,300.7,298.9
0.0026414,248.5,246.9
0.0028224,205.3,203.8
0.0028224,206.7,205.1
0.003,173.3,171.9
0.004,74.46,73.53
0.005,38.34,37.64
0.006,22.21,21.63
0.008,9.372,8.931
0.01,4.829,4.458
0.015,1.531,1.242
0.02,0.751,0.4988
0.03,0.357,0.1421
0.04,0.259,0.06418
0.05,0.2209,0.03961
0.06,0.2013,0.03035
0.08,0.1803,0.02518
0.1,0.1679,0.0249
0.15,0.1482,0.02719
0.2,0.135,0.02922
0.3,0.1169,0.03146
0.4,0.1046,0.03231
0.5,0.09547,0.03252
0.6,0.08827,0.03237
0.8,0.07752,0.0316
1.0,0.06969,0.03058
1.25,0.06232,0.02922
1.5,0.05671,0.02793
2.0,0.04869,0.0257
3.0,0.03908,0.02247
4.0,0.03349,0.02033
5.0,0.02981,0.01883
6.0,0.02722,0.01774
8.0,0.02383,0.01626
10.0,0.02174,0.01534
15.0,0.01896,0.01407
20.0,0.01767,0.01346
