"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,4823.0,4797.0
0.0015,1672.0,1664.0
0.002,760.1,756.7
0.003,241.1,239.6
0.004,104.5,103.5
0.005,54.09,53.29
0.006,31.42,30.77
0.008,13.27,12.78
0.01,6.805,6.408
0.015,2.088,1.796
0.02,0.9667,0.7221
0.03,0.4025,0.2022
0.04,0.2647,0.08674
0.05,0.2132,0.04943
0.06,0.188,0.0347
0.08,0.1632,0.02523
0.1,0.15,0.02335
0.15,0.131,0.02424
0.2,0.1189,0.02579
0.3,0.1027,0.02763
0.4,0.09187,0.02836
0.5,0.0838,0.02852
0.6,0.07747,0.02838
0.8,0.06803,0.02771
1.0,0.06115,0.02681
1.25,0.05469,0.02562
1.5,0.04979,0.02448
2.0,0.0428,0.02255
3.0,0.03456,0.01984
4.0,0.02981,0.01809
5.0,0.02674,0.0169
6.0,0.0246,0.01606
8.0,0.02185,0.01496
10.0,0.0202,0.0143
15.0,0.01811,0.01346
20.0,0.01722,0.0131
