"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,3764.0,3747.0
0.0015,1281.0,1276.0
0.0018389,730.0,727.1
0.0018389,741.5,738.0
0.002,586.8,584.0
0.003,184.5,183.2
0.004,79.61,78.73
0.005,41.1,40.41
0.006,23.84,23.27
0.008,10.07,9.632
0.01,5.179,4.817
0.015,1.623,1.346
0.02,0.7794,0.5409
0.03,0.3535,0.1531
0.04,0.2482,0.06778
0.05,0.2078,0.0406
0.06,0.1874,0.03015
0.08,0.1663,0.02395
0.1,0.1542,0.0232
0.15,0.1357,0.02495
0.2,0.1234,0.02674
0.3,0.1068,0.02874
0.4,0.09558,0.02952
0.5,0.08722,0.0297
0.6,0.08064,0.02956
0.8,0.07081,0.02885
1.0,0.06365,0.02792
1.25,0.05693,0.02668
1.5,0.05182,0.02551
2.0,0.0445,0.02347
3.0,0.03581,0.02057
4.0,0.03076,0.01867
5.0,0.02746,0.01735
6.0,0.02515,0.0164
8.0,0.02215,0.01513
10.0,0.02031,0.01435
15.0,0.01791,0.0133
20.0,0.01683,0.01281
