"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,3872.0,3860.0
0.0015,1729.0,1717.0
0.0018224,1147.0,1135.0
0.0018224,1152.0,1141.0
0.00188459,1251.0,1235.0
0.0019489,2689.0,2642.0
0.0019489,3802.0,3730.0
0.002,3773.0,3702.0
0.0023673,2696.0,2648.0
0.0023673,3124.0,3069.0
0.00251955,2686.0,2639.0
0.0026816,2309.0,2270.0
0.0026816,2454.0,2412.0
0.00280386,2210.0,2174.0
0.0029317,1992.0,1959.0
0.0029317,2078.0,2043.0
0.003,1972.0,1939.0
0.004,994.3,977.1
0.005,575.9,564.2
0.006,366.0,356.9
0.008,177.8,171.4
0.01,101.1,96.1
0.0105353,88.58,83.86
0.0105353,223.4,186.9
0.0112245,196.4,159.4
0.0119587,160.0,136.0
0.0119587,219.1,177.6
0.0122394,207.9,169.0
0.0125267,196.1,160.0
0.0125267,226.2,183.4
0.015,144.0,120.1
0.02,68.35,58.76
0.03,23.67,20.64
0.04,11.12,9.614
0.05,6.206,5.265
0.06,3.872,3.205
0.0716764,2.464,1.97
0.0716764,10.73,3.058
0.08,8.069,2.832
0.1,4.587,2.107
0.15,1.637,0.958
0.2,0.8119,0.5054
0.3,0.3339,0.2038
0.4,0.1976,0.1135
0.5,0.1409,0.07658
0.6,0.1114,0.05822
0.8,0.08179,0.04109
1.0,0.06688,0.03327
1.25,0.05627,0.02794
1.5,0.05038,0.02508
2.0,0.04463,0.02273
3.0,0.04105,0.02251
4.0,0.04068,0.0238
5.0,0.04137,0.02527
6.0,0.04246,0.02667
8.0,0.04511,0.02906
10.0,0.0479,0.03092
15.0,0.05437,0.03382
20.0,0.05953,0.03496
