"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,4058.0,4053.0
0.0015,1418.0,1415.0
0.002,659.2,656.3
0.003,219.8,217.4
0.0036074,132.7,130.6
0.0036074,1201.0,1065.0
0.004,925.6,830.4
0.005,518.9,475.2
0.006,320.5,297.4
0.008,146.9,138.3
0.01,79.07,74.9
0.015,25.03,23.7
0.02,10.93,10.23
0.03,3.413,3.045
0.04,1.541,1.272
0.05,0.8679,0.6454
0.06,0.5678,0.373
0.08,0.3251,0.1628
0.1,0.2345,0.09161
0.15,0.1582,0.04346
0.2,0.1319,0.03378
0.3,0.108,0.03015
0.4,0.09495,0.02959
0.5,0.086,0.02929
0.6,0.07922,0.02895
0.8,0.06929,0.02807
1.0,0.06216,0.02707
1.25,0.05556,0.02581
1.5,0.05068,0.02467
2.0,0.04399,0.0229
3.0,0.03666,0.02084
4.0,0.03282,0.01985
5.0,0.03054,0.01935
6.0,0.02915,0.01914
8.0,0.02766,0.0191
10.0,0.02704,0.01928
15.0,0.02687,0.01983
20.0,0.02737,0.02029
