"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,5238.0,5231.0
0.0015,1858.0,1853.0
0.002,870.6,867.2
0.003,292.2,289.6
0.004,133.2,131.1
0.0044928,96.87,94.9
0.0044928,814.8,691.1
0.005,630.5,543.6
0.006,393.3,347.4
0.008,182.8,166.1
0.01,99.52,91.75
0.015,32.02,29.88
0.02,14.09,13.11
0.03,4.409,3.975
0.04,1.969,1.677
0.05,1.087,0.8552
0.06,0.6932,0.4944
0.08,0.3753,0.2132
0.1,0.2577,0.1167
0.15,0.1619,0.04998
0.2,0.131,0.03586
0.3,0.1052,0.02997
0.4,0.09193,0.02887
0.5,0.08305,0.02837
0.6,0.07639,0.02795
0.8,0.06675,0.02703
1.0,0.05985,0.02603
1.25,0.05347,0.0248
1.5,0.04878,0.0237
2.0,0.04243,0.02202
3.0,0.03554,0.02016
4.0,0.03202,0.01933
5.0,0.02999,0.01897
6.0,0.02878,0.01887
8.0,0.02756,0.019
10.0,0.02715,0.01929
15.0,0.02732,0.02
20.0,0.02804,0.02052
