"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,7213.0,7197.0
0.00103542,6724.0,6709.0
0.0010721,6258.0,6244.0
0.0010721,6446.0,6431.0
0.0015,3149.0,3137.0
0.002,1638.0,1628.0
0.0022949,1188.0,1178.0
0.0022949,1238.0,1227.0
0.00233947,1384.0,1367.0
0.0023849,1678.0,1652.0
0.0023849,1751.0,1722.0
0.00260577,1582.0,1554.0
0.0028471,1390.0,1364.0
0.0028471,1531.0,1502.0
0.003,1349.0,1324.0
0.0032785,1085.0,1064.0
0.0032785,1130.0,1109.0
0.00341712,1024.0,1002.0
0.0035616,926.1,908.1
0.0035616,953.9,935.4
0.004,721.8,707.2
0.0045571,524.7,513.2
0.0045571,801.7,769.3
0.00470229,750.0,719.7
0.0048521,696.9,669.0
0.0048521,825.8,786.6
0.005,774.1,737.6
0.0051881,705.2,672.6
0.0051881,770.7,733.2
0.006,538.5,513.8
0.008,257.7,246.3
0.01,144.7,137.9
0.0122839,84.59,80.01
0.0122839,131.1,113.3
0.0132113,107.9,93.85
0.0142087,88.96,77.78
0.0142087,109.0,90.59
0.0145206,103.5,86.18
0.0148393,97.93,81.72
0.0148393,108.0,89.1
0.015,105.0,86.78
0.02,50.06,42.54
0.03,17.32,14.9
0.0331694,13.32,11.43
0.0331694,29.67,14.85
0.04,18.27,10.41
0.05,10.19,6.462
0.06,6.301,4.236
0.08,2.958,2.088
0.0831023,2.679,1.897
0.0831023,5.508,2.24
0.1,3.415,1.651
0.15,1.232,0.7225
0.2,0.622,0.3785
0.3,0.2682,0.1554
0.4,0.1661,0.08937
0.5,0.1228,0.06248
0.6,0.09985,0.04909
0.8,0.07601,0.03648
1.0,0.0635,0.03058
1.25,0.05421,0.02641
1.5,0.04882,0.02407
2.0,0.04323,0.02204
3.0,0.03933,0.02171
4.0,0.03856,0.02275
5.0,0.03889,0.02402
6.0,0.03967,0.02527
8.0,0.04181,0.02747
10.0,0.04415,0.02923
15.0,0.04966,0.03206
20.0,0.0541,0.03328
