"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9234.0,9213.0
0.00103199,8653.0,8633.0
0.001065,8098.0,8080.0
0.001065,8339.0,8320.0
0.00106854,8281.0,8262.0
0.0010721,8224.0,8205.0
0.0010721,8387.0,8368.0
0.0011423,7344.0,7327.0
0.0012171,6413.0,6398.0
0.0012171,6569.0,6553.0
0.0015,4132.0,4120.0
0.002,2114.0,2104.0
0.003,788.0,780.9
0.004,383.6,377.6
0.0045571,275.2,269.6
0.0045571,517.4,493.6
0.00470229,485.1,462.8
0.0048521,451.0,430.3
0.0048521,563.7,533.2
0.005,529.6,501.2
0.0050119,526.8,498.5
0.0050119,751.1,703.7
0.00509924,719.3,674.4
0.0051881,688.1,645.7
0.0051881,745.3,698.7
0.00527305,719.6,671.6
0.0053594,687.5,645.4
0.0053594,792.3,739.7
0.00553401,732.3,684.7
0.0057143,676.1,633.1
0.0057143,726.8,679.5
0.006,644.8,604.3
0.008,307.1,290.6
0.01,171.1,162.4
0.015,58.15,54.86
0.02,26.86,24.96
0.03,9.045,8.071
0.0331694,6.923,6.088
0.0331694,21.22,9.086
0.0345483,26.87,8.529
0.0359846,17.19,7.99
0.0359846,30.27,10.59
0.04,22.97,9.395
0.05,12.87,6.596
0.06,7.921,4.586
0.08,3.677,2.399
0.1,2.035,1.391
0.15,0.729,0.4951
0.2,0.3805,0.2401
0.3,0.1818,0.09634
0.4,0.1237,0.05828
0.5,0.09809,0.04366
0.6,0.08373,0.03657
0.8,0.06769,0.02987
1.0,0.05848,0.02657
1.25,0.0511,0.02402
1.5,0.04644,0.02243
2.0,0.04123,0.02089
3.0,0.03721,0.02059
4.0,0.03616,0.02144
5.0,0.03622,0.02255
6.0,0.03673,0.02364
8.0,0.03838,0.02563
10.0,0.0403,0.02725
15.0,0.04492,0.02992
20.0,0.04867,0.03114
