"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,7927.0,7913.0
0.001003,7875.0,7862.0
0.001006,7824.0,7811.0
0.001006,8014.0,8001.0
0.0015,3291.0,3281.0
0.002,1664.0,1656.0
0.003,614.6,608.2
0.0035375,406.4,400.4
0.0035375,778.7,752.5
0.00363101,730.0,705.6
0.003727,684.0,661.3
0.003727,860.1,826.6
0.004,723.0,695.7
0.004018,715.1,688.1
0.004018,793.4,762.4
0.00417657,722.1,694.4
0.0043414,656.2,631.3
0.0043414,932.8,888.3
0.00447465,873.9,832.8
0.004612,813.5,775.9
0.004612,943.8,895.5
0.0047728,870.2,826.5
0.0049392,799.9,760.6
0.0049392,865.3,821.4
0.005,839.2,797.0
0.006,528.6,504.6
0.008,249.2,238.9
0.01,138.1,132.2
0.015,46.57,44.04
0.02,21.44,19.88
0.0267112,9.834,8.833
0.0267112,29.43,13.68
0.03,21.82,11.19
0.0318138,18.73,10.01
0.0318138,34.92,13.51
0.04,19.3,9.635
0.05,10.67,6.229
0.06,6.542,4.163
0.08,3.019,2.083
0.1,1.671,1.181
0.15,0.6071,0.4101
0.2,0.3246,0.1982
0.3,0.1628,0.08144
0.4,0.1147,0.05109
0.5,0.09291,0.03952
0.6,0.08042,0.03391
0.8,0.066,0.02852
1.0,0.05742,0.02575
1.25,0.05043,0.02354
1.5,0.04591,0.02209
2.0,0.0407,0.02062
3.0,0.03649,0.02021
4.0,0.03525,0.02091
5.0,0.03513,0.02188
6.0,0.03548,0.02286
8.0,0.03687,0.02468
10.0,0.03857,0.02618
15.0,0.04273,0.02867
20.0,0.04616,0.02983
