"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2107.0,2097.0
0.00103933,1963.0,1953.0
0.0010802,1827.0,1817.0
0.0010802,2635.0,2620.0
0.00109302,3837.0,3816.0
0.001106,5613.0,5582.0
0.001106,6852.0,6814.0
0.00125312,6641.0,6605.0
0.0014198,5262.0,5234.0
0.0014198,6072.0,6039.0
0.0015,5358.0,5329.0
0.0015407,5046.0,5018.0
0.0015407,5355.0,5325.0
0.00162921,4740.0,4714.0
0.0017228,4189.0,4165.0
0.0017228,4376.0,4352.0
0.002,3120.0,3102.0
0.003,1193.0,1183.0
0.004,587.3,579.5
0.005,335.6,329.1
0.006,211.5,205.9
0.0067162,158.7,153.6
0.0067162,433.4,393.3
0.00700767,389.8,354.7
0.0073118,349.6,318.9
0.0073118,475.6,425.5
0.0075213,450.1,398.8
0.0077368,414.1,372.1
0.0077368,477.7,427.6
0.008,440.1,395.1
0.01,249.9,227.8
0.015,86.33,79.72
0.02,40.25,37.06
0.03,13.65,12.27
0.04,6.362,5.532
0.0468342,4.208,3.562
0.0468342,21.0,6.378
0.05,17.74,6.094
0.06,11.07,4.872
0.08,5.212,2.893
0.1,2.901,1.786
0.15,1.027,0.6806
0.2,0.5192,0.3366
0.3,0.2296,0.1326
0.4,0.1466,0.0762
0.5,0.1112,0.05411
0.6,0.09218,0.04334
0.8,0.07201,0.03333
1.0,0.06106,0.02862
1.25,0.05271,0.02522
1.5,0.04773,0.02325
2.0,0.0424,0.0215
3.0,0.03868,0.02133
4.0,0.03797,0.02241
5.0,0.03833,0.02372
6.0,0.03912,0.02498
8.0,0.04124,0.02719
10.0,0.04355,0.02896
15.0,0.04899,0.0318
20.0,0.05335,0.03302
