"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,1913.0,1910.0
0.0015,654.7,652.2
0.002,301.8,299.6
0.0021455,249.4,247.3
0.0021455,2473.0,2343.0
0.003,1118.0,1074.0
0.004,524.2,507.9
0.005,286.0,278.2
0.006,172.6,168.2
0.008,76.6,74.57
0.01,40.35,39.12
0.015,12.39,11.79
0.02,5.352,4.939
0.03,1.7,1.422
0.04,0.8096,0.585
0.05,0.4916,0.2965
0.06,0.3494,0.1735
0.08,0.2324,0.08083
0.1,0.1865,0.05068
0.15,0.1432,0.03188
0.2,0.125,0.02899
0.3,0.1055,0.0287
0.4,0.09359,0.02892
0.5,0.08511,0.02891
0.6,0.07854,0.02869
0.8,0.06884,0.02793
1.0,0.06182,0.02698
1.25,0.05526,0.02575
1.5,0.05039,0.02462
2.0,0.04358,0.02279
3.0,0.0359,0.02049
4.0,0.03172,0.01921
5.0,0.02915,0.01846
6.0,0.02747,0.01801
8.0,0.02552,0.0176
10.0,0.02452,0.01747
15.0,0.02364,0.01754
20.0,0.02363,0.01771
