"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2832.0,2829.0
0.0015,977.1,974.2
0.002,452.0,449.4
0.0028224,177.4,175.2
0.0028224,1637.0,1506.0
0.003,1473.0,1361.0
0.004,703.7,662.6
0.005,390.1,371.1
0.006,238.4,228.2
0.008,107.5,103.4
0.01,57.25,55.1
0.015,17.84,17.0
0.02,7.739,7.227
0.03,2.425,2.114
0.04,1.117,0.8756
0.05,0.6483,0.4433
0.06,0.4395,0.257
0.08,0.2696,0.1148
0.1,0.205,0.06745
0.15,0.148,0.03639
0.2,0.1266,0.03067
0.3,0.1054,0.02898
0.4,0.09311,0.02887
0.5,0.08453,0.02874
0.6,0.07795,0.02847
0.8,0.06826,0.02767
1.0,0.06128,0.02671
1.25,0.05478,0.02549
1.5,0.04994,0.02436
2.0,0.04328,0.02258
3.0,0.03585,0.02043
4.0,0.03188,0.01931
5.0,0.0295,0.01871
6.0,0.02798,0.01839
8.0,0.02628,0.01819
10.0,0.02549,0.01824
15.0,0.02496,0.01861
20.0,0.0252,0.01899
