"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2457.0,2454.0
0.0015,823.5,821.4
0.002,372.7,370.9
0.0028224,142.4,140.8
0.0028224,970.1,896.0
0.003,870.2,806.8
0.004,413.7,390.2
0.005,228.7,217.7
0.006,139.5,133.5
0.008,62.76,60.32
0.01,33.4,32.06
0.015,10.45,9.864
0.02,4.578,4.188
0.03,1.491,1.226
0.04,0.73,0.5111
0.05,0.4559,0.2622
0.06,0.3325,0.1555
0.08,0.2298,0.07477
0.1,0.1887,0.04852
0.15,0.1486,0.0324
0.2,0.1308,0.03015
0.3,0.111,0.03023
0.4,0.09867,0.03056
0.5,0.08981,0.03057
0.6,0.08293,0.03036
0.8,0.07271,0.02957
1.0,0.06532,0.02858
1.25,0.0584,0.02729
1.5,0.0532,0.02609
2.0,0.04587,0.02408
3.0,0.03738,0.0214
4.0,0.03261,0.01977
5.0,0.02959,0.01873
6.0,0.02754,0.01803
8.0,0.025,0.0172
10.0,0.02356,0.01676
15.0,0.02192,0.01633
20.0,0.02139,0.01622
