"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,8434.0,8419.0
0.001003,8380.0,8365.0
0.001006,8326.0,8311.0
0.001006,8684.0,8668.0
0.0015,3608.0,3598.0
0.002,1832.0,1824.0
0.003,679.2,672.6
0.004,329.7,324.0
0.0043414,267.8,262.5
0.0043414,788.2,746.0
0.00447465,750.4,707.8
0.004612,699.5,662.9
0.004612,944.5,888.0
0.0047728,878.2,823.7
0.0049392,806.2,760.0
0.0049392,929.2,874.4
0.005,901.4,848.7
0.006,572.1,542.3
0.008,270.2,257.8
0.01,150.1,143.3
0.015,50.78,48.02
0.02,23.41,21.75
0.03,7.878,6.997
0.0318138,6.738,5.929
0.0318138,37.19,12.51
0.04,20.64,9.48
0.05,11.45,6.33
0.06,7.041,4.306
0.08,3.255,2.195
0.1,1.801,1.256
0.15,0.6492,0.4409
0.2,0.3429,0.2132
0.3,0.1679,0.08646
0.4,0.1163,0.05326
0.5,0.09328,0.04055
0.6,0.08022,0.0344
0.8,0.06538,0.02854
1.0,0.05669,0.02559
1.25,0.04967,0.02327
1.5,0.04518,0.02179
2.0,0.04009,0.02033
3.0,0.03606,0.01998
4.0,0.03494,0.02075
5.0,0.03492,0.02177
6.0,0.03534,0.02279
8.0,0.03683,0.02466
10.0,0.0386,0.0262
15.0,0.0429,0.02873
20.0,0.04642,0.02989
