"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,6626.0,6612.0
0.0010222,6375.0,6360.0
0.0010449,6127.0,6112.0
0.0010449,6519.0,6504.0
0.00115314,5446.0,5431.0
0.0012726,4526.0,4511.0
0.0012726,4589.0,4575.0
0.00135409,4065.0,4051.0
0.0014408,3598.0,3584.0
0.0014408,3668.0,3654.0
0.0015,3382.0,3368.0
0.002,1865.0,1852.0
0.003,769.2,757.8
0.0035517,525.7,515.1
0.0035517,1266.0,1220.0
0.00363859,1188.0,1142.0
0.0037276,1112.0,1072.0
0.0037276,1582.0,1517.0
0.004,1329.0,1277.0
0.0043034,1110.0,1068.0
0.0043034,1292.0,1242.0
0.005,889.1,856.9
0.0051822,811.8,782.5
0.0051822,861.1,830.1
0.00536198,791.5,763.2
0.005548,728.2,702.2
0.005548,759.2,732.2
0.006,628.4,606.2
0.008,310.8,298.9
0.01,179.1,171.1
0.015,65.28,60.84
0.0171663,46.63,42.93
0.0171663,107.0,79.8
0.02,71.06,54.96
0.0209476,63.0,49.14
0.0209476,88.38,62.22
0.0213487,95.15,59.59
0.0217574,80.23,57.15
0.0217574,92.22,64.87
0.03,41.28,31.49
0.04,19.83,15.76
0.05,11.21,9.034
0.06,7.035,5.678
0.08,3.395,2.695
0.1,1.954,1.502
0.115606,1.378,1.027
0.115606,4.893,1.382
0.15,2.591,1.083
0.2,1.298,0.6746
0.3,0.5192,0.305
0.4,0.2922,0.1732
0.5,0.1976,0.1152
0.6,0.149,0.08494
0.8,0.1016,0.05574
1.0,0.07896,0.04241
1.25,0.0637,0.03351
1.5,0.05587,0.02891
2.0,0.04878,0.02523
3.0,0.04447,0.02434
4.0,0.04392,0.02546
5.0,0.04463,0.02689
6.0,0.04583,0.02829
8.0,0.04879,0.03068
10.0,0.05195,0.03259
15.0,0.05927,0.03552
20.0,0.06512,0.03662
