"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,4590.0,4576.0
0.0015,1549.0,1545.0
0.002,694.9,692.6
0.003,217.1,215.8
0.004,93.15,92.21
0.005,47.9,47.15
0.006,27.7,27.08
0.008,11.63,11.16
0.01,5.952,5.565
0.015,1.836,1.545
0.02,0.8651,0.6179
0.03,0.3779,0.1729
0.04,0.2585,0.0753
0.05,0.2132,0.04414
0.06,0.1907,0.03207
0.08,0.1678,0.02468
0.1,0.1551,0.02355
0.15,0.1361,0.02506
0.2,0.1237,0.02679
0.3,0.107,0.02877
0.4,0.09566,0.02953
0.5,0.08729,0.02971
0.6,0.0807,0.02957
0.8,0.07087,0.02887
1.0,0.06372,0.02794
1.25,0.05697,0.02669
1.5,0.05185,0.02551
2.0,0.04459,0.0235
3.0,0.03597,0.02066
4.0,0.031,0.01882
5.0,0.02777,0.01757
6.0,0.02552,0.01668
8.0,0.02263,0.01553
10.0,0.02089,0.01483
15.0,0.01866,0.01396
20.0,0.0177,0.0136
