"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,9413.0,9393.0
0.00107191,8151.0,8132.0
0.001149,7035.0,7019.0
0.001149,7338.0,7321.0
0.0015,4085.0,4073.0
0.002,2088.0,2078.0
0.003,778.0,770.9
0.004,378.7,372.8
0.0047822,240.8,235.5
0.0047822,694.1,652.4
0.005,639.2,601.5
0.0051037,604.4,569.3
0.0051037,818.1,763.0
0.00527536,757.9,707.9
0.0054528,699.1,653.9
0.0054528,806.4,752.7
0.006,637.6,597.9
0.008,303.2,287.1
0.01,169.0,160.5
0.015,57.43,54.2
0.02,26.52,24.65
0.03,8.93,7.969
0.0345614,6.129,5.352
0.0345614,33.16,10.86
0.04,22.7,9.323
0.05,12.72,6.54
0.06,7.825,4.541
0.08,3.633,2.374
0.1,2.011,1.376
0.15,0.7202,0.4894
0.2,0.376,0.2373
0.3,0.1797,0.09522
0.4,0.1223,0.05761
0.5,0.09699,0.04317
0.6,0.08281,0.03617
0.8,0.06696,0.02956
1.0,0.05785,0.0263
1.25,0.05054,0.02378
1.5,0.04594,0.02221
2.0,0.04078,0.0207
3.0,0.03681,0.02042
4.0,0.03577,0.02128
5.0,0.03583,0.0224
6.0,0.03634,0.0235
8.0,0.03797,0.02553
10.0,0.03987,0.0272
15.0,0.04445,0.03002
20.0,0.04815,0.03139
