"energy [MeV]", "mu [cm2/g]", "mu_en [cm2/g]"
0.001,2616.0,2605.0
0.0011625,1961.0,1951.0
0.0013514,1462.0,1452.0
0.0013514,2108.0,2091.0
0.0013713,3193.0,3164.0
0.0013915,4528.0,4485.0
0.0013915,5239.0,5187.0
0.0015,5847.0,5790.0
0.0017412,4038.0,4001.0
0.0017412,4677.0,4633.0
0.00182975,4161.0,4122.0
0.0019228,3703.0,3669.0
0.0019228,3934.0,3898.0
0.002,3590.0,3558.0
0.0021283,3127.0,3099.0
0.0021283,3266.0,3236.0
0.003,1465.0,1450.0
0.004,726.4,716.4
0.005,417.0,409.1
0.006,263.6,257.0
0.008,127.1,122.0
0.0080711,124.2,119.2
0.0080711,328.3,289.7
0.00848389,288.9,256.0
0.0089178,254.0,226.0
0.0089178,346.3,299.4
0.0091529,325.9,282.5
0.0093942,305.1,265.2
0.0093942,352.0,304.4
0.01,301.2,262.3
0.015,106.0,95.21
0.02,49.8,45.04
0.03,17.01,15.21
0.04,7.94,6.928
0.05,4.425,3.74
0.0556177,3.361,2.783
0.0556177,15.92,4.697
0.06,13.09,4.466
0.08,6.244,3.015
0.1,3.492,1.961
0.15,1.236,0.7901
0.2,0.6178,0.3984
0.3,0.2639,0.157
0.4,0.1629,0.08869
0.5,0.1205,0.06145
0.6,0.098,0.04811
0.8,0.07477,0.03571
1.0,0.06257,0.02997
1.25,0.05351,0.02593
1.5,0.04828,0.02369
2.0,0.04289,0.02175
3.0,0.0393,0.02161
4.0,0.03877,0.02279
5.0,0.03927,0.02417
6.0,0.0402,0.02549
8.0,0.04253,0.02777
10.0,0.04504,0.02958
15.0,0.05088,0.03245
20.0,0.05551,0.03363
